English  	French   	
353	ten	dix	1
354	territory	le territoire	8
355	that idea	cette idée	8
356	that is	c'est	3
357	their	leur	4
358	their pl.	leurs	4
359	there is	il y a	2
360	there; here; in; then	là	3
361	these are	ce sont	4
362	they are	ils sont	4
363	they f.	elles	2
364	they go	ils vont	3
365	they have	ils ont	3
366	they m.	ils	3
367	they make	ils font	3
368	they speak	ils parlent	3
369	thirteen	treize	1
370	thirty	trente	1
371	this evening	ce soir	2
372	thousand	mille	1
373	three	trois	1
374	Thursday	jeudi	1
375	tired	fatigué	3
376	to answer	répondre à	8
377	to arrive	arriver	8
378	to arrive from	arriver de	8
379	to ask	poser	8
380	to ask for	demander	8
381	to attend	assister à	8
382	to bargain	marchander	8
383	to be able	pouvoir	3
384	to be cold	avoir froid	3
385	to be hungry	avoir faim	3
386	to be located	être situé	8
387	to become	devenir	8
388	to bring	apporter	8
389	to call	appeler	8
390	to choose	choisir	8
391	to clean	nettoyer	8
392	to close	fermer	4
393	to count	compter	8
394	to cry	pleurer	8
395	to dance	danser	8
396	to depart	partir	8
397	to direct	diriger	8
398	to discourage from	décourager de	8
399	to do the dishes	faire la vaisselle	4
400	to encourage to	encourager à	8
401	to find	trouver	3
402	to finish	finir	4
403	to forget	oublier	3
404	to frighten	faire peur à	8
405	to get used to	s'habituer à	8
406	to give	donner	4
407	to go by	passer	8
408	to go in	entrer dans	8
409	to go out	sortir	4
410	to go over	réviser	8
411	to go with	accompagner	8
412	to hear	entendre	4
413	to interest	intéresser	8
414	to let	laisser	8
415	to like	aimer	3
416	to listen to	écouter à	3
417	to look for	chercher	4
418	to lose	perdre	4
419	to make or do	faire	2
420	to meet	rencontrer	4
421	to need	avoir besoin de	2
422	to open	ouvrir	4
423	to order	commander	8
424	to pay	payer	8
425	to play	jouer	3
426	to please	faire plaisir à	8
427	to prepare	préparer	8
428	to read	lire	3
429	to repeat	répéter	4
430	to say	dire	3
431	to see	voir	3
432	to sell	vendre	4
433	to serve	servir	8
434	to show	montrer	8
435	to sing	chanter	8
436	to sleep	dormir	3
437	to speak	parler	3
438	to stay	rester	8
439	to stop	arrêter	8
440	to study	étudier	4
441	to take	prendre	4
442	to take advantage of	profiter de	8
443	to take care of	soigner	8
444	to teach	apprendre à	8
445	to think	croire	8
446	to translate	traduire	8
447	to try	essayer	3
448	to use	employer	4
449	to wait for	attendre	8
450	to want	vouloir	3
451	to watch	regarder	3
452	to wear	porter	8
453	to win	gagner	8
454	to wipe	essuyer	8
455	to work	travailler	4
456	to write	écrire	4
457	today is	c'est aujourd'hui	2
458	together	ensemble	7
459	tomorrow	demain	2
460	too bad	dommage	2
461	town	la ville	5
462	tradition	la tradition	6
463	train	le train	5
464	tree	l'arbre m.	5
465	tribe	la tribu	9
466	Tuesday	mardi	1
467	twelve	douze	1
468	twenty	vingt	1
469	two	deux	1
470	uncle	l'oncle m.	3
471	under; beneath	sous	7
472	unfortunately	malheureusement	3
473	university	l'université f.	6
474	until; up to; as far as	jusqu'à	3
475	usually	d'habitude	7
476	village	le village	5
477	watch	la montre	6
478	water	l'eau f.	4
479	we	nous	2
480	we are	nous sommes	2
481	we go	nous allons	2
482	we have	nous avons	2
483	we make	nous faisons	2
484	we speak	nous parlons	2
485	we want	nous voulons	2
486	Wednesday	mercredi	1
487	week	la semaine	1
488	well; quite; very	bien	2
489	what color?	de quelle couleur?	1
490	what is he doing?	qu'est-ce qu'il fait?	3
491	what is that?	qu'est-ce que c'est?	3
492	what?	quel?	3
493	when?	quand?	3
494	while	pendant que	4
495	white	blanc	1
496	who?	qui?	3
497	why?	pourquoi?	3
498	window	la fenêtre	7
499	winter	l'hiver m.	1
500	with	avec	2
501	woman	la femme	3
502	work	le travail	7
503	would like	voudrait	8
504	year	l'année f.	1
505	yellow	jaune	1
506	yes	oui	1
507	yesterday	hier	2
508	yesterday evening	hier soir	3
509	yesterday morning	hier matin	3
510	you	tu or toi	2
511	you are	tu es	2
512	you are pl.	vous êtes	3
513	you go	tu vas	2
514	you go pl.	vous allez	3
515	you go! pl.	allez!	3
516	you have	tu as	2
517	you have pl.	vous avez	3
518	you make	tu fais	2
519	you make pl.	vous faites	3
520	you pl.	vous	3
521	you speak	tu parles	2
522	you speak pl.	vous parlez	3
523	you want	tu veux	2
524	you want pl.	vous voulez	3
525	young	jeune	3
526	your pl.	votre	4
527	your pl. pl.	vos	4
528	your s. f.	ta	4
529	your s. m.	ton	4
530	your s. pl.	tes	4
531	zero	zéro	1
532	(of), whose, whom, which	dont	7
533	a long time	longtemps	7
534	a lot of, much	bien de	7
535	according to	selon	9
536	according to whether	selon que	9
537	all the same	tout de meme	4
538	all, everything	tout	3
539	almost, nearly	presque	3
540	although	bien que; quoique	7
541	any longer, no more, not anymore	ne ... plus	7
542	any, some	quelconque	7
543	anything	quoi que se soit	7
544	around	autour de	7
545	around, round about	alentour	9
546	as for	quant à	9
547	as well as	ainsi que; aussi bien que	9
548	as/so much/many	autant	9
549	at last, finally, after all	enfin	9
550	at the bottom of	en bas de	9
551	at the same time as	en même temps que	9
552	at the time of	lors de	9
553	at the top of	en haut de	9
554	badly	mal	3
555	because, for	car	9
556	before	avant que	4
557	before(hand)	auparavant	9
558	before, front	avant	9
559	besides, moreover	d'ailleurs	9
560	better	meilleur; mieux	4
561	beyond	au delà de	9
562	big, large, tall, great	grand (grande)	9
563	bottom	du dessous	9
564	but, save	hormis	9
565	by chance	par hasard	9
566	by, through, out of, from	par	9
567	cowardly, loose	lâche	9
568	despite	malgré	9
569	distant, distance	lointain	9
570	down below, downstairs	en bas	9
571	each (one), every one	chacun (chacune)	9
572	either ... or	soit ... soit	9
573	elsewhere	ailleurs	9
574	enclosed	ci-joint	9
575	enough	assez	4
576	even if, even though, although	quand même	9
577	everyone	tout le monde	3
578	everywhere	partout	5
579	except that	sinon que	9
580	fair, just, correct, true	juste	9
581	far	loin	5
582	far from it	loin de là	9
583	few, not much, not many	peu	4
584	for fear of	de peur de	9
585	forward	en avant	9
586	from now on	désormais	9
587	hardly, scarcely	ne ... guère	9
588	heavy	lourd (lourde)	9
589	henceforth, hereafter	dorénavant	9
590	hereafter	ci-après	9
591	high, top	haut	9
592	how much, how many	combien de	9
593	however	toutefois; cependant	9
594	how's it going?	ça va?	2
595	immediately	aussitôt; tout de suite	4
596	in a moment, a moment ago	tout à l'heure	9
597	in order that	pour que	9
598	in such a way that	de sorte de	9
599	it, that	cela	9
600	it, that, this	ça	9
601	just as it is	tel quel	9
602	last	dernier	9
603	less	moins	4
604	lesser	moindre	9
605	light	léger (légère)	9
606	low, bottom	bas (basse)	9
607	many	beaucoup	3
608	more	plus	4
609	moreover, furthermore	par ailleurs	9
610	most	plupart	9
611	narrow, tight	étroit (étroite)	9
612	near, close	près	5
613	neither ... nor	ne ... ni ... ni	9
614	never	ne ... jamais	9
615	nevertheless, however, still, yet	pourtant	9
616	next	prochain	4
617	next to, compared with	auprès de	9
618	no, not any	ne ... nul (nulle)	9
619	no, not one, not any	ne ... aucun (aucune)	9
620	nobody, not one, not anybody	ne ... personne	9
621	not	ne ... pas	9
622	nothing	ne ... rien	9
623	now that	maintenant que	9
624	of course	bien sûr; mais oui	9
625	of which (one)	duquel (de laquelle)	9
626	of which (ones)	desquels (desquelles)	9
627	of, from	de	9
628	old, former, ex-	ancien	9
629	on the other hand	par contre	9
630	on top, top	dessus	9
631	oneself	soi	9
632	only, but only	ne ... que	9
633	opposite	ci-contre	9
634	other	autre	9
635	otherwise	sans ça / sans quoi	9
636	otherwise, except, unless	sinon	9
637	out of, outside	hors de	9
638	over there	là-bas	9
639	provided that	pourvu que	9
640	quite, completely	tout à fait	9
641	rather	plutôt	9
642	rather than	plotôt que	9
643	save, but, except	sauf	9
644	short	court	9
645	similar, such, equal, same	pareil (pareille)	9
646	since	depuis que; puisque	9
647	since (duration)	depuis	9
648	small, little	petit (petite)	9
649	so much	tellement	9
650	so much, so many	tellement de	9
651	so that	afin que	9
652	some	quelque	9
653	some, a few	quelques-uns /unes	9
654	someone, somebody	quelqu'un /e	9
655	such as, like	tel que	9
656	that-there one	celui-là (celle-là)	9
657	the best	le mieux	9
658	the one	celui (celle), ceux (celles)	9
659	the slightest, the least	le moindre	9
660	the worst	le pis	9
661	then	puis	9
662	then, so	alors	9
663	therefore, consequently	donc	9
664	these-here ones	ceux-ci (celles-ci)	9
665	thick	épais (epaisse)	9
666	thin	mince	9
667	this	ce; cet; cette; ceci	9
668	this-here one	celui-ci (celle-ci)	9
669	those	ces	9
670	those-there ones	ceux-là (celles-là)	9
671	thus, so	ainsi	9
672	to which (one)	auquel (à laquelle)	9
673	to which (ones)	auxquels (auxquelles)	9
674	top	du dessus	9
675	toward	vers	9
676	underneath, underside	dessous	9
677	unless	à moins que	9
678	upright, on end, standing	debout	9
679	upstairs	en haut up,	9
680	what	quel	9
681	what, (that) of which	ce dont	9
682	what, that which	ce que	9
683	what, what which	ce qui	9
684	what, which	quoi	9
685	whatever, no matter what	quoi que	9
686	when	quand	9
687	when, at the time when	lorsque	9
688	when, while, whereas	alors que	9
689	where	où	5
690	wherever	partout où	9
691	which	lequel	9
692	while, whereas	tandis que	9
693	who, whom, which, that	qui	9
694	whoever, whatsoever	quiconque	9
695	whom, which, that	que	9
696	why	pourquoi	3
697	with regard/respect to	envers	9
698	without	sans	3
699	worse	pire; pis	9
